"Assistance Listings Number","Title","Types of Assistance","Department/Ind. Agency","Sub-Tier","Related Federal Assistance","Last Date Modified","Date Published","Funded","POC Information"
"15.931","Youth and Veteran Organizations Conservation Activities","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Aug 29, 2024","Aug 29, 2024","true","Youth Program
1849 C Street NW, Washington DC 20240
202-697-2035
"
"15.991","September 11 National Memorial Trail","B - Cooperative Agreements (Discretionary Grants)","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Aug 29, 2024","Aug 29, 2024","true","Stephen M Clark
1 Washington Parkway, Farmington PA 15437
724-329-5512
"
"15.957","Emergency Supplemental Historic Preservation Fund","B - Project Grants (for specified projects)","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","15.914","Aug 29, 2024","Aug 29, 2024","true","Megan J. Brown
State, Tribal, Local, Plans & Grants Division
National Park Service
1849 C Street, NW Mail Stop 7360, Washington DC 20240
202-354-2062
"
"19.450","ECA Individual Grants","B - Project Grants (including individual awards)","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","N/A","Aug 27, 2024","Aug 27, 2024","true","Deborah Thompson
U.S. Department of State, Bureau of Educational and Cultural Affairs, Executive Office, Grants Division, SA-5, Room 04-BB08, Washington, District of Columbia 20037, Washington DC 20037
(202) 632-6365
"
"19.451","Special International Exchange Grant Programs","B - Cooperative Agreements","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","N/A","Aug 27, 2024","Aug 27, 2024","true","Tim Marshall
U.S. Department of State, Bureau of Educational and Cultural Affairs, Office of Academic Exchanges, East Asia and Pacific Branch,
2200 C Street, NW, SA-05, 4-L11, Washington, District of Columbia 20037, Washington, District of Columbia 20037, Washington DC 20037
2027164804
"
"19.015","Cultural, Technical and Educational Centers","B - Cooperative Agreements","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","N/A","Aug 27, 2024","Aug 27, 2024","true","Adam Meier (East-West Center)
EAP Branch Chief, U.S. Department of State, Bureau of Educational and Cultural Affairs, Office of Academic Exchange Programs, 2200 C Street, NW, SA-5, Room 4B12, Washington, DC 20037, Washington DC 20037
(202) 632-6067
"
"19.009","Academic Exchange Programs - Undergraduate Programs","B - Cooperative Agreements","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","19.400, 19.401, 19.408","Aug 27, 2024","Aug 27, 2024","true","Vincent Pickett (Global Undergraduate Exchange Program)
Multi-Regional Programs Branch Chief, U.S. Department of State, Bureau of Educational and Cultural Affairs, 2200 C Street, NW, SA-5, Fourth Floor, Room 4B11, Washington, DC 20037, Washington DC 20037
(202) 632-3243
"
"19.440","ECA U.S. Speaker Program","B - Project Grants (including individual awards)","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","N/A","Aug 27, 2024","Aug 27, 2024","true","Deputy Director Imani Esparza Pitman
U.S. Department of State, Bureau of Educational and Cultural Affairs, Office of U.S. Speaker Program
2200 C Street, NW, SA-05, Rm. 3-CC16, WASHINGTON DC 20037
202-632-9245
"
"19.012","Professional and Cultural Exchange Programs - Special Professional and Cultural Programs","B - Project Grants","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","N/A","Aug 27, 2024","Aug 27, 2024","true","Chris Remsen
U.S. Department of State, Bureau of Educational and Cultural Affairs, Office of Citizen Exchanges, 2200 C Street, NW
SA-05, Rm. 3F16, Washington, District of Columbia 20037, Washington DC 20037
202-632-9432
"
"19.452","International Exchange Alumni Programs","B - Project Grants (Cooperative Agreements)","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","N/A","Aug 27, 2024","Aug 27, 2024","true","Christopher Schwab
Deputy Director, U.S. Department of State, Bureau of Educational and Cultural Affairs, Office of Alumni Affairs, 2200 C Street, NW, SA-05, First Floor, Room 01-U05, Washington, DC 20037, Washington DC 20037
(202) 632-6179
"
"19.011","Academic Exchange Programs - Special Academic Exchange Programs","B - Cooperative Agreements","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","19.400, 19.401, 19.009","Aug 27, 2024","Aug 27, 2024","true","Adam Meier (U.S.-South Pacific Scholarship Program and U.S.-Timor Leste Scholarship Program)
EAP Branch Chief, U.S. Department of State, Bureau of Educational and Cultural Affairs, Office of Academic Exchanges, 2200 C Street, NW, Washington, DC, SA-5, Fourth Floor, Room 4B12, Washington, DC DC 20037
(202) 632-6067
"
"19.432","Academic Exchange Programs - Educational Advising and Student Services","B - Cooperative Agreements","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","N/A","Aug 27, 2024","Aug 27, 2024","true","Robin Lathrop
Branch Chief, Office of Global Educational Programs, U.S. Department of State, Bureau of Educational and Cultural Affairs, SA-5, Fourth Floor, Room 4L12, Washington, DC 20037, Washington DC 20037
(202) 368-3512
"
"19.022","Educational and Cultural Exchange Programs Appropriation Overseas Grants","B - Project Grants","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","N/A","Aug 27, 2024","Aug 27, 2024","true","Jennyleen Fernandez
Execution Budget Chief, Budget and Finance, U.S. Department of State, Bureau of Educational and Cultural Affairs, Executive Office, Budget and Financial Management Division, 2200 C Street, SA-05, Room 04-R06, Washington, DC 20522-0504, Washington DC 20522
(202) 936-4597
"
"39.002","Disposal of Federal Surplus Real Property","Z - Salaries and Expenses","GENERAL SERVICES ADMINISTRATION","","39.003, 15.916","Aug 27, 2024","Aug 27, 2024","true","Brian Kee,
1800 F Street NW, Washington DC 20405
(202) 604-1915
"
"19.421","Academic Exchange Programs - English Language Programs","B - Cooperative Agreements","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","N/A","Aug 27, 2024","Aug 27, 2024","true","Caryn Danz
U.S. Department of State, Bureau of Educational and Cultural Affairs, Office of English Language Programs, 2200 C Street, NW
SA-05, Rm.4B15, Washington DC 20037
(202) 632-9412
"
"19.402","Professional and Cultural Exchange Programs - International Visitor Leadership Program","B - Cooperative Agreements","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","N/A","Aug 27, 2024","Aug 27, 2024","true","Tom Rathburn
U.S. Department of State, Bureau of Educational and Cultural Affairs,
Office of International Visitors,
Community Resources Division,
2200 C Street, NW
SA-05, Room 03BB06, Washington, District of Columbia 20037, Washington DC 20037
(202) 632-9384
"
"19.408","Academic Exchange Programs - Teachers","B - Cooperative Agreements","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","19.400, 19.401","Aug 27, 2024","Aug 27, 2024","true","Jennifer Gibson
Teacher Exchanges Branch Chief, U.S. Department of State, Bureau of Educational and Cultural Affairs, Office of Global Educational Programs, 2200 C Street, NW, SA-5, Fourth Floor, Room 4CC14, Washington, DC 20037, Washington DC 20037
(202) 632-6343
"
"19.401","Academic Exchange Programs - Scholars","B - Cooperative Agreements","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","19.400","Aug 27, 2024","Aug 27, 2024","true","Leigh Sours, Senior Policy and Planning Officer
U.S. Department of State, Bureau of Educational and Cultural Affairs, Office of Academic Exchange Programs, 2200 C Street, NW, SA-5, Fourth Floor, Room 4N06, Washington, DC 20037, Washington DC 20037
2026323235
"
"19.441","ECA – American Spaces","B - Project Grants (Cooperative Agreements)","STATE, DEPARTMENT OF","","N/A","Aug 27, 2024","Aug 27, 2024","true","Director Todd Miyahira
U.S. Department of State, Bureau of Educational and Cultural Affairs, Office of American Spaces 2200 C Street, NW, SA-05,  Rm. BB09, Washington, DC 20037, Washington DC 20037
202-632-2846
"
"19.400","Academic Exchange Programs - Graduate Students","B - Project Grants (Cooperative Agreements)","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","19.401","Aug 27, 2024","Aug 27, 2024","true","Leigh Sours, Senior Policy and Planning Officer
U.S. Department of State, Bureau of Educational and Cultural Affairs, Office of Academic Exchange Programs, 2200 C Street, NW, SA-5, Fourth Floor, Room 4N06, Washington, DC 20037, Washington DC 20037
(202) 632-3235
"
"19.415","Professional and Cultural Exchange Programs - Citizen Exchanges","B - Project Grants","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","N/A","Aug 27, 2024","Aug 27, 2024","true","Matt McMahon
U.S. Department of State,
Bureau of Educational and Cultural Affairs,
Office of Citizen Exchanges,
2200 C Street, NW
SA-05, Rm. 3B16, Washington DC 20037
(202) 632-6766
"
"19.010","Academic Exchange Programs - Hubert H. Humphrey Fellowship Program","B - Cooperative Agreements","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","19.400, 19.401, 19.408","Aug 27, 2024","Aug 27, 2024","true","Kelsi Ward, Branch Chief
U.S. Department of State,
Bureau of Educational and Cultural Affairs,
Office of Global Educational Programs,
Humphrey and Institutional Linkages Branch,
2200 C Street, NW
SA-5, Rm. 4CC17, Washington DC 20037
(202) 320-2796
"
"10.305","International Science and Education Grants","B - Project Grants","AGRICULTURE, DEPARTMENT OF","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE","10.205, 10.207, 10.210, 10.219, 10.652, 10.250, 10.200, 10.216, 10.202, 10.226, 10.001, 10.203","Aug 16, 2024","Aug 16, 2024","false","USDA, NIFA, National Program Leader, 
Center for International Programs, 1400 Independence Avenue, SW., STOP 2203 , Washington  DC 20250-2203
(202) 720-3801
"
"15.669","Cooperative Landscape Conservation","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","15.670","Aug 16, 2024","Aug 16, 2024","true","Anna-Marie York
U.S. Fish and Wildlife Service, Department of the Interior, 5275 Leesburg Pike MS: SA, Falls Church VA 22041
(703)358-1881
"
"15.640","Latin America and Caribbean Regional","B - Cooperative Agreements (Discretionary Grants)","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","15.651","Aug 16, 2024","Aug 16, 2024","true","International Affairs
Department of Interior,
U.S. Fish and Wildlife Service,
Division of International Conservation,
5275 Leesburg Pike, MS: IA, Falls Church VA 22041
703-358-1754
"
"15.162","Tiwahe Housing","B - Project Grants (Capacity Building and Complaint Processing, Training)","INTERIOR, DEPARTMENT OF THE","BUREAU OF INDIAN AFFAIRS","N/A","Aug 16, 2024","Aug 16, 2024","true","Mercedes Garcia
1849 C Street NW  (Central/Administrative Office), Washington DC 20240
202-513-7712 
"
"15.146","Ironworker Training","C - Direct Payments for Specified Use","INTERIOR, DEPARTMENT OF THE","BUREAU OF INDIAN AFFAIRS","15.060, 15.850, 15.108, 15.114","Aug 16, 2024","Aug 16, 2024","true","Juanita Mendoza
1849 C Street, N.W. 
Bureau of Indian Education, MS 4657-MIB, Washington DC 20240
2022083559
"
"15.677","Hurricane Sandy Disaster Relief Activities-FWS","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","N/A","Aug 16, 2024","Aug 16, 2024","false","Tracey Vriens
U.S. Fish and Wildlife Service Headquarters
5275 Leesburg Pike MS: WSFR, Falls Church VA 22041
571-329-3067
"
"15.163","Tribal Education Departments","C - Direct Payments for Specified Use","INTERIOR, DEPARTMENT OF THE","BUREAU OF INDIAN AFFAIRS","N/A","Aug 16, 2024","Aug 16, 2024","true","Maureen Lesky
Sovereignty in Indian Education, 1849 C Street, NW, MIB-3610, Washington DC 20240
(505) 563-5397
"
"15.164","Land Acquisition Funding Program","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","BUREAU OF INDIAN AFFAIRS","N/A","Aug 16, 2024","Aug 16, 2024","true","BIA, Office of Trust Service - Division of Trust Land Consolidation
2021 4th Avenue North, Billings MT 59101
406-247-7913
"
"15.161","Native Language Immersion Grant","C - Direct Payments for Specified Use","INTERIOR, DEPARTMENT OF THE","BUREAU OF INDIAN AFFAIRS","N/A","Aug 16, 2024","Aug 16, 2024","true","Juanita Mendoza
1849 C Street, NW, MIB-3610, Washington DC 20240
(202) 208-6123
"
"15.666","Endangered Species Conservation-Wolf Livestock Loss Compensation and Prevention","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","15.615, 15.611, 15.605, 15.631","Aug 16, 2024","Aug 16, 2024","true","Ecological Services Program 
U.S. Fish and Wildlife Service, Department of the Interior, 5275 Leesburg Pike (MS:ES), Falls Church VA 22041
(719) 651-7961
"
"15.671","Yukon River Salmon Research and Management Assistance","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","15.664, 15.608","Aug 16, 2024","Aug 16, 2024","true","Alaska Region
Fish and Wildlife Office, 1011 East Tudor Road , Anchorage AK 99503
907-786-3523
"
"15.614","Coastal Wetlands Planning, Protection and Restoration","B - Project Grants","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","15.623","Aug 16, 2024","Aug 16, 2024","true","Chris Darnell
U.S. Fish and Wildlife Service Headquarters, The National Refuge System - Division of Natural Resources and Conservation Planning
5275 Leesburg Pike, MS: NWRS, , Falls Church VA 22041-3803
(703) 358-1849
"
"15.124","Indian Loans Economic Development","F - Guaranteed/Insured Loans","INTERIOR, DEPARTMENT OF THE","BUREAU OF INDIAN AFFAIRS","10.766","Aug 16, 2024","Aug 16, 2024","true","Juanita Mendoza
1849 C Street, N.W. 
Bureau of Indian Education, MS 4657-MIB, Washington DC 20240
2022083559
"
"15.682","Experienced Services","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","N/A","Aug 16, 2024","Aug 16, 2024","true","Edith Thompson
USFWS HQ, 5275 Leesburg Pike, Falls Church VA 22041
703-358-2267
"
"87.003","Nicholas and Zachary Burt Memorial Carbon Monoxide Poisoning Prevention Grants","A - Formula Grants","CONSUMER PRODUCT SAFETY COMMISSION","","N/A","Aug 15, 2024","Aug 15, 2024","true","Harvey Kincaid
U.S. Consumer Product Safety Commission 
4330 East West Highway, Bethesda MD 20814
301.504.7525
"
"85.400","Morris K. Udall Scholarship Program","C - Direct Payments for Specified Use","MORRIS K. UDALL SCHOLARSHIP AND EXCELLENCE IN NATIONAL ENVIRONMENTAL POLICY FOUNDATION","","N/A","Aug 13, 2024","Aug 13, 2024","true","Alicia Harris
434 E. University Blvd., Tucson AZ 85705
520-901-8524
"
"85.401","Morris K. Udall Fellowship Program","C - Direct Payments for Specified Use","MORRIS K. UDALL SCHOLARSHIP AND EXCELLENCE IN NATIONAL ENVIRONMENTAL POLICY FOUNDATION","","N/A","Aug 13, 2024","Aug 13, 2024","true","Alicia Harris
434 E. University Blvd., Tucson AZ 85705
520-901-8524
"
"85.402","Morris K. Udall Native American Congressional Internship Program","C - Direct Payments for Specified Use","MORRIS K. UDALL SCHOLARSHIP AND EXCELLENCE IN NATIONAL ENVIRONMENTAL POLICY FOUNDATION","","N/A","Aug 13, 2024","Aug 13, 2024","true","Alicia Harris
434 E. University Blvd., Tucson AZ 85705
520-901-8524
"
"15.576","Yakima River Basin Water Enhancement Phase III (Yakima Basin Integrated Plan)","B - Cooperative Agreements (Discretionary Grants)","INTERIOR, DEPARTMENT OF THE","BUREAU OF RECLAMATION","N/A","Aug 13, 2024","Aug 13, 2024","true","Gwendolyn (Wendy) Christensen, YRBWEP Manager
1917 Marsh Rd, Yakima WA 89901
5095738050
"
"15.959","Education Program Management","C - Direct Payments for Specified Use","INTERIOR, DEPARTMENT OF THE","BUREAU OF INDIAN AFFAIRS","15.027, 15.114","Aug 12, 2024","Aug 12, 2024","true","Joe Herrin
Bureau of Indian Education, 1849 C Street, NW, , Washington DC 20240
202) 208-7658
"
"15.569","Educational Outreach","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","BUREAU OF RECLAMATION","N/A","Aug 8, 2024","Aug 8, 2024","true","Todd Plain
801 I St. Suite 140, Sacramento CA 95814
916 693 7146
"
"14.023","Community Development Block Grant- PRO Housing Competition","B - Project Grants (Discretionary)","HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT","N/A","Aug 6, 2024","Aug 6, 2024","true","Robert C. Peterson
451 7th Street SW, Room 7282, Washington DC 20410
2024024211
"
"97.123","State, Local, Tribal and Territorial Security Operations Center/Information Sharing and Analysis Center","B - Cooperative Agreements","HOMELAND SECURITY, DEPARTMENT OF","Cybersecurity and Infrastructure Security Agency","N/A","Aug 5, 2024","Aug 5, 2024","true","Cybersecurity & Infrastructure Security Agency 
7th and D Street, Washington DC 20407
(202) 603-6924
"
"15.431","Alaska Settlement Agreement","D - Direct Payments with Unrestricted Use","INTERIOR, DEPARTMENT OF THE","DEPARTMENTAL OFFICES","N/A","Aug 2, 2024","Aug 2, 2024","true","Director
Office of Natural Resources Revenue, 1849 C Street, NW, Mail Stop 4211, Washington DC 20240
(202) 513-0600
"
"15.440","South Half of the Red River","C - Direct Payments for Specified Use","INTERIOR, DEPARTMENT OF THE","DEPARTMENTAL OFFICES","N/A","Aug 2, 2024","Aug 2, 2024","true","Director
U.S. Department of the Interior, Office of Natural Resources Revenue, 1849 C Street, NW, Mail Stop 4211, Washington DC 20240
(202) 513-0600
"
"15.434","Geothermal Resources","C - Direct Payments for Specified Use","INTERIOR, DEPARTMENT OF THE","DEPARTMENTAL OFFICES","N/A","Aug 2, 2024","Aug 2, 2024","true","Director
Office of Natural Resources Revenue, 1849 C Street, NW, Mail Stop 4211, Washington DC 20240
(202) 513-0600
"
